name,id,votes,percent,candidate,party
Jonquière,24032,8124,16.9%,Ursula Larouche,Conservateur
Jonquière,24032,11202,23.3%,Jean-François Caron,Bloc Québécois
Jonquière,24032,13700,28.5%,Marc Pettersen,Libéral
Jonquière,24032,14039,29.2%,Karine Trudel,NPD-Nouveau Parti Démocratique
La Pointe-de-l'Île,24033,96,0.2%,Geneviève Royer,Marxiste-Léniniste
La Pointe-de-l'Île,24033,135,0.2%,Jean-François Larose,Forces et Démocratie - Allier les forces de nos régions
La Pointe-de-l'Île,24033,358,0.6%,Ben 97 Benoit,Rhinocéros
La Pointe-de-l'Île,24033,1130,2%,David J. Cox,Parti Vert
La Pointe-de-l'Île,24033,4408,8%,Guy Morissette,Conservateur
La Pointe-de-l'Île,24033,14777,26.8%,Ève Péclet,NPD-Nouveau Parti Démocratique
La Pointe-de-l'Île,24033,15777,28.6%,Marie-Chantale Simard,Libéral
La Pointe-de-l'Île,24033,18545,33.6%,Mario Beaulieu,Bloc Québécois
La Prairie,24034,204,0.4%,Normand Chouinard,Marxiste-Léniniste
La Prairie,24034,1235,2.1%,Joanne Tomas,Parti Vert
La Prairie,24034,6859,11.9%,Yves Perras,Conservateur
La Prairie,24034,13174,22.9%,Pierre Chicoine,NPD-Nouveau Parti Démocratique
La Prairie,24034,15107,26.2%,Christian Picard,Bloc Québécois
La Prairie,24034,20993,36.5%,Jean-Claude Poissant,Libéral
Lac-Saint-Jean,24035,806,1.5%,Laurence Requilé,Parti Vert
Lac-Saint-Jean,24035,10152,18.4%,Sabin Gaudreault,Bloc Québécois
Lac-Saint-Jean,24035,10193,18.4%,Sabin Simard,Libéral
Lac-Saint-Jean,24035,15735,28.5%,Gisèle Dallaire,NPD-Nouveau Parti Démocratique
Lac-Saint-Jean,24035,18393,33.3%,Denis Lebel,Conservateur
Lac-Saint-Louis,24036,1681,2.7%,Gabriel Bernier,Bloc Québécois
Lac-Saint-Louis,24036,1812,2.9%,Bradford Dean,Parti Vert
Lac-Saint-Louis,24036,7997,12.8%,Ryan Young,NPD-Nouveau Parti Démocratique
Lac-Saint-Louis,24036,10857,17.4%,Eric Girard,Conservateur
Lac-Saint-Louis,24036,39965,64.1%,Francis Scarpaleggia,Libéral
LaSalle--Émard--Verdun,24037,1717,3.2%,Lorraine Banville,Parti Vert
LaSalle--Émard--Verdun,24037,3713,6.9%,Mohammad Zamir,Conservateur
LaSalle--Émard--Verdun,24037,9164,17%,Gilbert Paquette,Bloc Québécois
LaSalle--Émard--Verdun,24037,15566,29%,Hélène LeBlanc,NPD-Nouveau Parti Démocratique
LaSalle--Émard--Verdun,24037,23603,43.9%,David Lametti,Libéral
Laurentides--Labelle,24038,1251,2%,Niloufar Hedjazi,Parti Vert
Laurentides--Labelle,24038,6209,9.8%,Sylvain Charron,Conservateur
Laurentides--Labelle,24038,16644,26.3%,Simon-Pierre Landry,NPD-Nouveau Parti Démocratique
Laurentides--Labelle,24038,18792,29.7%,Johanne Régimbald,Bloc Québécois
Laurentides--Labelle,24038,20277,32.1%,David Graham,Libéral
Laurier--Sainte-Marie,24039,102,0.2%,Pierre Fontaine,Communiste
Laurier--Sainte-Marie,24039,103,0.2%,Serge Lachapelle,Marxiste-Léniniste
Laurier--Sainte-Marie,24039,160,0.3%,Julien Bernatchez,Indépendant
Laurier--Sainte-Marie,24039,604,1.1%,Stéphane Beaulieu,Libertarien
Laurier--Sainte-Marie,24039,1904,3.5%,Cyrille Giraud,Parti Vert
Laurier--Sainte-Marie,24039,2242,4.1%,Daniel Gaudreau,Conservateur
Laurier--Sainte-Marie,24039,12938,23.7%,Christine Poirier,Libéral
Laurier--Sainte-Marie,24039,15699,28.7%,Gilles Duceppe,Bloc Québécois
Laurier--Sainte-Marie,24039,20929,38.3%,Hélène Laverdière,NPD-Nouveau Parti Démocratique
Laval--Les Îles,24040,175,0.3%,Yvon Breton,Marxiste-Léniniste
Laval--Les Îles,24040,921,1.7%,Faiza R'Guiba-Kalogerakis,Parti Vert
Laval--Les Îles,24040,6731,12.4%,Nancy Redhead,Bloc Québécois
Laval--Les Îles,24040,9811,18.1%,Roland Dick,Conservateur
Laval--Les Îles,24040,10710,19.8%,François Pilon,NPD-Nouveau Parti Démocratique
Laval--Les Îles,24040,25857,47.7%,Fayçal El-Khoury,Libéral
Longueuil--Charles-LeMoyne,24041,168,0.3%,Pierre Chénier,Marxiste-Léniniste
Longueuil--Charles-LeMoyne,24041,325,0.6%,Matthew Iakov Liberman,Rhinocéros
Longueuil--Charles-LeMoyne,24041,1510,2.9%,Mario Leclerc,Parti Vert
Longueuil--Charles-LeMoyne,24041,4961,9.6%,Thomas Barré,Conservateur
Longueuil--Charles-LeMoyne,24041,12468,24.1%,Sadia Groguhé,NPD-Nouveau Parti Démocratique
Longueuil--Charles-LeMoyne,24041,13974,27%,Philippe Cloutier,Bloc Québécois
Longueuil--Charles-LeMoyne,24041,18301,35.4%,Sherry Romanado,Libéral
Lévis--Lotbinière,24042,136,0.2%,François Belanger ATN,ADN
Lévis--Lotbinière,24042,1124,1.8%,Tina Biello,Parti Vert
Lévis--Lotbinière,24042,7163,11.4%,Steve Gagné,Bloc Québécois
Lévis--Lotbinière,24042,9246,14.8%,Hélène Bilodeau,NPD-Nouveau Parti Démocratique
Lévis--Lotbinière,24042,13562,21.7%,Claude Boucher,Libéral
Lévis--Lotbinière,24042,31357,50.1%,Jacques Gourde,Conservateur
Longueuil--Saint-Hubert,24043,153,0.3%,Affine Lwalalika,Forces et Démocratie - Allier les forces de nos régions
Longueuil--Saint-Hubert,24043,1447,2.5%,Casandra Poitras,Parti Vert
Longueuil--Saint-Hubert,24043,5087,8.7%,John Sedlak,Conservateur
Longueuil--Saint-Hubert,24043,15873,27.3%,Denis Trudel,Bloc Québécois
Longueuil--Saint-Hubert,24043,17468,30%,Michael O'Grady,Libéral
Longueuil--Saint-Hubert,24043,18171,31.2%,Pierre Nantel,NPD-Nouveau Parti Démocratique
Louis-Hébert,24044,128,0.2%,Stefan Jetchick,Parti de l'Héritage Chrétien
Louis-Hébert,24044,1561,2.5%,Andrée-Anne Beaudoin-Julien,Parti Vert
Louis-Hébert,24044,8900,14.4%,Caroline Pageau,Bloc Québécois
Louis-Hébert,24044,12850,20.8%,Denis Blanchette,NPD-Nouveau Parti Démocratique
Louis-Hébert,24044,16789,27.2%,Jean-Pierre Asselin,Conservateur
Louis-Hébert,24044,21516,34.8%,Joël Lightbound,Libéral
Louis-Saint-Laurent,24045,1210,1.9%,Michel Savard,Parti Vert
Louis-Saint-Laurent,24045,6688,10.3%,Ronald Sirard,Bloc Québécois
Louis-Saint-Laurent,24045,10296,15.9%,G. Daniel Caron,NPD-Nouveau Parti Démocratique
Louis-Saint-Laurent,24045,13852,21.4%,Youri Rousseau,Libéral
Louis-Saint-Laurent,24045,32637,50.5%,Gérard Deltell,Conservateur
Manicouagan,24046,673,1.6%,Nathan Grills,Parti Vert
Manicouagan,24046,4317,10.3%,Yvon Boudreau,Conservateur
Manicouagan,24046,7359,17.5%,Jonathan Genest-Jourdain,NPD-Nouveau Parti Démocratique
Manicouagan,24046,12343,29.4%,Mario Tremblay,Libéral
Manicouagan,24046,17338,41.3%,Marilène Gill,Bloc Québécois
Mégantic--L'Érable,24047,1006,2.1%,Justin Gervais,Parti Vert
Mégantic--L'Érable,24047,5838,12.3%,Virginie Provost,Bloc Québécois
Mégantic--L'Érable,24047,10386,22%,Jean-François Delisle,NPD-Nouveau Parti Démocratique
Mégantic--L'Érable,24047,13308,28.1%,David Berthiaume,Libéral
Mégantic--L'Érable,24047,16749,35.4%,Luc Berthold,Conservateur
Mirabel,24048,1301,2.2%,Jocelyn Gifford,Parti Vert
Mirabel,24048,6020,10.1%,Gordon Ferguson,Conservateur
Mirabel,24048,15514,26.1%,Karl Trudel,Libéral
Mirabel,24048,17873,30.1%,Mylène Freeman,NPD-Nouveau Parti Démocratique
Mirabel,24048,18710,31.5%,Simon Marcil,Bloc Québécois
Montarville,24049,641,1.1%,Claude Leclair,Libertarien
Montarville,24049,1388,2.4%,Olivier Adam,Parti Vert
Montarville,24049,6284,10.9%,Stéphane Duranleau,Conservateur
Montarville,24049,14296,24.7%,Djaouida Sellah,NPD-Nouveau Parti Démocratique
Montarville,24049,16460,28.4%,Catherine Fournier,Bloc Québécois
Montarville,24049,18848,32.5%,Michel Picard,Libéral
Montcalm,24050,620,1.2%,Manon Perreault,Forces et Démocratie - Allier les forces de nos régions
Montcalm,24050,976,1.8%,Yumi Yow Mei Ang,Parti Vert
Montcalm,24050,5093,9.6%,Gisèle DesRoches,Conservateur
Montcalm,24050,12431,23.5%,Martin Leclerc,NPD-Nouveau Parti Démocratique
Montcalm,24050,14484,27.3%,Louis-Charles Thouin,Libéral
Montcalm,24050,19405,36.6%,Luc Thériault,Bloc Québécois
Montmagny--L'Islet--Kamouraska--Rivière-du-Loup,24051,287,0.6%,Bien Gras Gagné,Rhinocéros
Montmagny--L'Islet--Kamouraska--Rivière-du-Loup,24051,823,1.7%,Chantal Breton,Parti Vert
Montmagny--L'Islet--Kamouraska--Rivière-du-Loup,24051,7939,16.1%,Louis Gagnon,Bloc Québécois
Montmagny--L'Islet--Kamouraska--Rivière-du-Loup,24051,11918,24.2%,François Lapointe,NPD-Nouveau Parti Démocratique
Montmagny--L'Islet--Kamouraska--Rivière-du-Loup,24051,14002,28.4%,Marie-Josée Normand,Libéral
Montmagny--L'Islet--Kamouraska--Rivière-du-Loup,24051,14274,29%,Bernard Généreux,Conservateur
Mount Royal/Mont-Royal,24052,124,0.3%,Diane Johnston,Marxiste-Léniniste
Mount Royal/Mont-Royal,24052,747,1.6%,Timothy Landry,Parti Vert
Mount Royal/Mont-Royal,24052,908,1.9%,Jade Bossé Bélanger,Bloc Québécois
Mount Royal/Mont-Royal,24052,3884,8.1%,Mario Jacinto Rimbao,NPD-Nouveau Parti Démocratique
Mount Royal/Mont-Royal,24052,18201,37.9%,Robert Libman,Conservateur
Mount Royal/Mont-Royal,24052,24187,50.3%,Anthony Housefather,Libéral
Notre-Dame-de-Grâce--Westmount,24053,151,0.3%,Lisa Julie Cahn,Indépendant
Notre-Dame-de-Grâce--Westmount,24053,181,0.4%,Rachel Hoffman,Marxiste-Léniniste
Notre-Dame-de-Grâce--Westmount,24053,1282,2.5%,Simon Quesnel,Bloc Québécois
Notre-Dame-de-Grâce--Westmount,24053,1581,3.1%,Melissa Kate Wheeler,Parti Vert
Notre-Dame-de-Grâce--Westmount,24053,7414,14.4%,Richard Sagala,Conservateur
Notre-Dame-de-Grâce--Westmount,24053,11229,21.8%,James Hughes,NPD-Nouveau Parti Démocratique
Notre-Dame-de-Grâce--Westmount,24053,29755,57.7%,Marc Garneau,Libéral
Outremont,24054,162,0.4%,Adrien Welsh,Communiste
Outremont,24054,216,0.5%,Francis Pouliot,Libertarien
Outremont,24054,1575,3.6%,Amara Diallo,Parti Vert
Outremont,24054,3668,8.4%,Roger Galland Barou,Bloc Québécois
Outremont,24054,4159,9.5%,Rodolphe Husny,Conservateur
Outremont,24054,14597,33.5%,Rachel Bendayan,Libéral
Outremont,24054,19242,44.1%,Tom Mulcair,NPD-Nouveau Parti Démocratique
Papineau,24055,103,0.2%,Beverly Bernardo,Aucune appartenance
Papineau,24055,142,0.3%,Peter Macrisopoulos,Marxiste-Léniniste
Papineau,24055,159,0.3%,Kim Waldron,Indépendant
Papineau,24055,323,0.6%,Tommy Gaudet,Rhinocéros
Papineau,24055,505,1%,Chris Lloyd,Indépendant
Papineau,24055,1443,2.8%,Danny Polifroni,Parti Vert
Papineau,24055,2390,4.7%,Yvon Vadnais,Conservateur
Papineau,24055,6182,12.2%,Maxime Claveau,Bloc Québécois
Papineau,24055,13132,25.9%,Anne Lagacé Dowson,NPD-Nouveau Parti Démocratique
Papineau,24055,26391,52%,Justin Trudeau,Libéral
Pierrefonds--Dollard,24056,865,1.5%,Abraham Weizfeld,Parti Vert
Pierrefonds--Dollard,24056,2043,3.5%,Natalie Laplante,Bloc Québécois
Pierrefonds--Dollard,24056,9584,16.4%,Lysane Blanchette-Lamothe,NPD-Nouveau Parti Démocratique
Pierrefonds--Dollard,24056,11694,20%,Valérie Assouline,Conservateur
Pierrefonds--Dollard,24056,34319,58.7%,Frank Baylis,Libéral
Pontiac,24057,108,0.2%,Louis Lang,Marxiste-Léniniste
Pontiac,24057,131,0.2%,Pascal Médieu,Forces et Démocratie - Allier les forces de nos régions
Pontiac,24057,1089,1.7%,Colin Griffiths,Parti Vert
Pontiac,24057,4337,6.9%,Nicolas Lepage,Bloc Québécois
Pontiac,24057,8716,13.9%,Benjamin Woodman,Conservateur
Pontiac,24057,14090,22.5%,Mathieu Ravignat,NPD-Nouveau Parti Démocratique
Pontiac,24057,34154,54.5%,William Amos,Libéral
Portneuf--Jacques-Cartier,24058,1096,1.8%,Johanne Morin,Parti Vert
Portneuf--Jacques-Cartier,24058,6665,10.7%,Raymond Harvey,Bloc Québécois
Portneuf--Jacques-Cartier,24058,13322,21.5%,David Gauvin,Libéral
Portneuf--Jacques-Cartier,24058,13686,22.1%,Élaine Michaud,NPD-Nouveau Parti Démocratique
Portneuf--Jacques-Cartier,24058,27290,44%,Joël Godin,Conservateur
Québec,24059,122,0.2%,Danielle Provost,Forces et Démocratie - Allier les forces de nos régions
Québec,24059,153,0.3%,Normand Fournier,Marxiste-Léniniste
Québec,24059,1570,2.9%,Philippe Riboty,Parti Vert
Québec,24059,10153,18.8%,Charles Mordret,Bloc Québécois
Québec,24059,11737,21.8%,Pierre-Thomas Asselin,Conservateur
Québec,24059,14566,27%,Annick Papillon,NPD-Nouveau Parti Démocratique
Québec,24059,15566,28.9%,Jean-Yves Duclos,Libéral
Repentigny,24060,1242,1.9%,Yoland Gilbert,Parti Vert
Repentigny,24060,1333,2%,Johnathan Cloutier,Forces et Démocratie - Allier les forces de nos régions
Repentigny,24060,7053,10.8%,Jonathan Lefebvre,Conservateur
Repentigny,24060,15167,23.3%,Réjean Bellemare,NPD-Nouveau Parti Démocratique
Repentigny,24060,17798,27.3%,Adriana Dudas,Libéral
Repentigny,24060,22618,34.7%,Monique Pauzé,Bloc Québécois
Richmond--Arthabaska,24061,384,0.7%,Antoine Dubois,Rhinocéros
Richmond--Arthabaska,24061,984,1.7%,Laurier Busque,Parti Vert
Richmond--Arthabaska,24061,10068,17.2%,Olivier Nolin,Bloc Québécois
Richmond--Arthabaska,24061,14213,24.2%,Myriam Beaulieu,NPD-Nouveau Parti Démocratique
Richmond--Arthabaska,24061,14463,24.7%,Marc Desmarais,Libéral
Richmond--Arthabaska,24061,18505,31.6%,Alain Rayes,Conservateur
Rivière-des-Mille-Îles,24062,158,0.3%,Luis Quinteros,Indépendant
Rivière-des-Mille-Îles,24062,1136,2%,Alec Ware,Parti Vert
Rivière-des-Mille-Îles,24062,6099,10.5%,Érick Gauthier,Conservateur
Rivière-des-Mille-Îles,24062,14755,25.4%,Félix Pinel,Bloc Québécois
Rivière-des-Mille-Îles,24062,17111,29.5%,Laurin Liu,NPD-Nouveau Parti Démocratique
Rivière-des-Mille-Îles,24062,18787,32.4%,Linda Lapointe,Libéral
Rivière-du-Nord,24063,261,0.5%,Fobozof A. Côté,Rhinocéros
Rivière-du-Nord,24063,1436,2.5%,Joey Leckman,Parti Vert
Rivière-du-Nord,24063,4793,8.5%,Romain Vignol,Conservateur
Rivière-du-Nord,24063,14933,26.4%,Janice Bélair Rolland,Libéral
Rivière-du-Nord,24063,17077,30.1%,Pierre Dionne Labelle,NPD-Nouveau Parti Démocratique
Rivière-du-Nord,24063,18157,32%,Rhéal Fortin,Bloc Québécois
Rosemont--La Petite-Patrie,24064,171,0.3%,Stéphane Chénier,Marxiste-Léniniste
Rosemont--La Petite-Patrie,24064,353,0.6%,Peter d'Entremont,Libertarien
Rosemont--La Petite-Patrie,24064,495,0.8%,Laurent Aglat,Rhinocéros
Rosemont--La Petite-Patrie,24064,1783,3.1%,Sameer Muldeen,Parti Vert
Rosemont--La Petite-Patrie,24064,2510,4.3%,Jeremy Dohan,Conservateur
Rosemont--La Petite-Patrie,24064,12068,20.7%,Nadine Medawar,Libéral
Rosemont--La Petite-Patrie,24064,12283,21.1%,Claude André,Bloc Québécois
Rosemont--La Petite-Patrie,24064,28672,49.2%,Alexandre Boulerice,NPD-Nouveau Parti Démocratique
Marc-Aurèle-Fortin,24065,1057,1.9%,Lorna Mungur,Parti Vert
Marc-Aurèle-Fortin,24065,6498,11.9%,Nicolas Makridis,Conservateur
Marc-Aurèle-Fortin,24065,11820,21.7%,Patrice Jasmin-Tremblay,Bloc Québécois
Marc-Aurèle-Fortin,24065,12827,23.5%,Marie-Josée Lemieux,NPD-Nouveau Parti Démocratique
Marc-Aurèle-Fortin,24065,22323,40.9%,Yves Robillard,Libéral
Saint-Hyacinthe--Bagot,24066,270,0.5%,Ugo Ménard,Indépendant
Saint-Hyacinthe--Bagot,24066,1243,2.3%,Lise Durand,Parti Vert
Saint-Hyacinthe--Bagot,24066,9098,16.7%,Réjean Léveillé,Conservateur
Saint-Hyacinthe--Bagot,24066,13200,24.3%,Michel Filion,Bloc Québécois
Saint-Hyacinthe--Bagot,24066,14980,27.6%,René Vincelette,Libéral
Saint-Hyacinthe--Bagot,24066,15578,28.7%,Brigitte Sansoucy,NPD-Nouveau Parti Démocratique
Saint-Jean,24067,1281,2.1%,Marilyn Redivo,Parti Vert
Saint-Jean,24067,6549,10.8%,Stéphane Guinta,Conservateur
Saint-Jean,24067,14979,24.8%,Denis Hurtubise,Bloc Québécois
Saint-Jean,24067,17555,29.1%,Hans Marotte,NPD-Nouveau Parti Démocratique
Saint-Jean,24067,20022,33.2%,Jean Rioux,Libéral
Saint-Laurent,24068,129,0.3%,Fernand Deschamps,Marxiste-Léniniste
Saint-Laurent,24068,977,2.4%,John Tromp,Parti Vert
Saint-Laurent,24068,1879,4.7%,Pascal-Olivier Dumas-Dubreuil,Bloc Québécois
Saint-Laurent,24068,4646,11.5%,Alain Ackad,NPD-Nouveau Parti Démocratique
Saint-Laurent,24068,7867,19.5%,Jimmy Yu,Conservateur
Saint-Laurent,24068,24832,61.6%,Stéphane Dion,Libéral
Saint-Léonard--Saint-Michel,24069,128,0.3%,Arezki Malek,Marxiste-Léniniste
Saint-Léonard--Saint-Michel,24069,805,1.8%,Melissa Miscione,Parti Vert
Saint-Léonard--Saint-Michel,24069,3204,7.2%,Steeve Gendron,Bloc Québécois
Saint-Léonard--Saint-Michel,24069,4957,11.1%,Jean Philippe Fournier,Conservateur
Saint-Léonard--Saint-Michel,24069,6611,14.8%,Rosannie Filato,NPD-Nouveau Parti Démocratique
Saint-Léonard--Saint-Michel,24069,28826,64.7%,Nicola Di Iorio,Libéral
Saint-Maurice--Champlain,24070,196,0.3%,Jean-Paul Bédard,Marxiste-Léniniste
Saint-Maurice--Champlain,24070,1144,1.9%,Martial Toupin,Parti Vert
Saint-Maurice--Champlain,24070,9592,16.3%,Jacques Grenier,Conservateur
Saint-Maurice--Champlain,24070,11295,19.2%,Sacki Carignan Deschamps,Bloc Québécois
Saint-Maurice--Champlain,24070,12245,20.8%,Jean-Yves Tremblay,NPD-Nouveau Parti Démocratique
Saint-Maurice--Champlain,24070,24475,41.5%,François-Philippe Champagne,Libéral
Salaberry--Suroît,24071,184,0.3%,Patricia Domingos,Forces et Démocratie - Allier les forces de nos régions
Salaberry--Suroît,24071,219,0.4%,Sylvain Larocque,Indépendant
Salaberry--Suroît,24071,867,1.4%,Nicola-Silverado Socrates,Parti Vert
Salaberry--Suroît,24071,6132,10%,Albert De Martin,Conservateur
Salaberry--Suroît,24071,17452,28.4%,Claude DeBellefeuille,Bloc Québécois
Salaberry--Suroît,24071,17955,29.2%,Robert Sauvé,Libéral
Salaberry--Suroît,24071,18726,30.4%,Anne Minh-Thu Quach,NPD-Nouveau Parti Démocratique
Shefford,24072,1397,2.4%,Simon McMillan,Parti Vert
Shefford,24072,7529,12.8%,Sylvie Fontaine,Conservateur
Shefford,24072,13092,22.2%,Jocelyn Beaudoin,Bloc Québécois
Shefford,24072,13945,23.7%,Claire Mailhot,NPD-Nouveau Parti Démocratique
Shefford,24072,22957,39%,Pierre Breton,Libéral
Sherbrooke,24073,265,0.5%,Hubert Richard,Rhinocéros
Sherbrooke,24073,303,0.5%,Benoit Huberdeau,Indépendant
Sherbrooke,24073,1143,2%,Sophie Malouin,Parti Vert
Sherbrooke,24073,5391,9.4%,Marc Dauphin,Conservateur
Sherbrooke,24073,11717,20.4%,Caroline Bouchard,Bloc Québécois
Sherbrooke,24073,17071,29.8%,Thomas ''Tom'' Allen,Libéral
Sherbrooke,24073,21410,37.4%,Pierre-Luc Dusseault,NPD-Nouveau Parti Démocratique
Vaudreuil--Soulanges,24074,1445,2.2%,Jennifer Kaszel,Parti Vert
Vaudreuil--Soulanges,24074,9048,13.8%,Marc Boudreau,Conservateur
Vaudreuil--Soulanges,24074,9858,15%,Vincent François,Bloc Québécois
Vaudreuil--Soulanges,24074,14627,22.3%,Jamie Nicholls,NPD-Nouveau Parti Démocratique
Vaudreuil--Soulanges,24074,30550,46.6%,Peter Schiefke,Libéral
Terrebonne,24075,171,0.3%,Louis Clément Sénat,Forces et Démocratie - Allier les forces de nos régions
Terrebonne,24075,1016,1.7%,Susan Moen,Parti Vert
Terrebonne,24075,6615,11.3%,Michel Surprenant,Conservateur
Terrebonne,24075,14928,25.6%,Charmaine Borg,NPD-Nouveau Parti Démocratique
Terrebonne,24075,16316,28%,Michèle Audette,Libéral
Terrebonne,24075,19238,33%,Michel Boudrias,Bloc Québécois
Trois-Rivières,24076,360,0.6%,Maxime Rousseau,Libertarien
Trois-Rivières,24076,1032,1.7%,Éric Trottier,Parti Vert
Trois-Rivières,24076,10249,17%,André Valois,Bloc Québécois
Trois-Rivières,24076,11231,18.6%,Dominic Therrien,Conservateur
Trois-Rivières,24076,18224,30.2%,Yvon Boivin,Libéral
Trois-Rivières,24076,19193,31.8%,Robert Aubin,NPD-Nouveau Parti Démocratique
Ville-Marie--Le Sud-Ouest--Île-des-Soeurs,24077,102,0.2%,William Sloan,Communiste
Ville-Marie--Le Sud-Ouest--Île-des-Soeurs,24077,161,0.3%,Daniel Wolfe,Rhinocéros
Ville-Marie--Le Sud-Ouest--Île-des-Soeurs,24077,2398,4.8%,Daniel Green,Parti Vert
Ville-Marie--Le Sud-Ouest--Île-des-Soeurs,24077,4307,8.6%,Chantal St-Onge,Bloc Québécois
Ville-Marie--Le Sud-Ouest--Île-des-Soeurs,24077,5948,11.9%,Steve Shanahan,Conservateur
Ville-Marie--Le Sud-Ouest--Île-des-Soeurs,24077,11757,23.4%,Allison Turner,NPD-Nouveau Parti Démocratique
Ville-Marie--Le Sud-Ouest--Île-des-Soeurs,24077,25491,50.8%,Marc Miller,Libéral
Vimy,24078,260,0.5%,Brian Jenkins,Parti de l'Héritage Chrétien
Vimy,24078,1280,2.4%,José Núñez Melo,Parti Vert
Vimy,24078,7262,13.4%,Anthony Mavros,Conservateur
Vimy,24078,9068,16.7%,Barek Kaddouri,Bloc Québécois
Vimy,24078,11391,21%,France Duhamel,NPD-Nouveau Parti Démocratique
Vimy,24078,25082,46.2%,Eva Nassif,Libéral
Ajax,35001,57,0.1%,Bob Kesic,Parti Uni
Ajax,35001,788,1.4%,Jeff Hill,Parti Vert
Ajax,35001,4630,8.2%,Stephanie Brown,NPD-Nouveau Parti Démocratique
Ajax,35001,19374,34.4%,Chris Alexander,Conservateur
Ajax,35001,31458,55.9%,Mark Holland,Libéral
Algoma--Manitoulin--Kapuskasing,35002,927,2.2%,Calvin John Orok,Parti Vert
Algoma--Manitoulin--Kapuskasing,35002,9820,23.7%,André Robichaud,Conservateur
Algoma--Manitoulin--Kapuskasing,35002,14111,34.1%,Heather Wilson,Libéral
Algoma--Manitoulin--Kapuskasing,35002,16516,39.9%,Carol Hughes,NPD-Nouveau Parti Démocratique
Aurora--Oak Ridges--Richmond Hill,35003,243,0.5%,Kyle Bowles,Environment Voters
Aurora--Oak Ridges--Richmond Hill,35003,654,1.3%,Randi Ramdeen,Parti Vert
Aurora--Oak Ridges--Richmond Hill,35003,2912,5.7%,Brenda Power,NPD-Nouveau Parti Démocratique
Aurora--Oak Ridges--Richmond Hill,35003,23039,45.2%,Costas Menegakis,Conservateur
Aurora--Oak Ridges--Richmond Hill,35003,24132,47.3%,Leona Alleslev,Libéral
Barrie--Innisfil,35004,130,0.3%,Jeff Sakula,PAC
Barrie--Innisfil,35004,199,0.4%,Gary Nail,Parti de l'Héritage Chrétien
Barrie--Innisfil,35004,1991,4%,Bonnie North,Parti Vert
Barrie--Innisfil,35004,5812,11.8%,Myrna Clark,NPD-Nouveau Parti Démocratique
Barrie--Innisfil,35004,18308,37.1%,Colin Wilson,Libéral
Barrie--Innisfil,35004,22901,46.4%,John Brassard,Conservateur
Barrie--Springwater--Oro-Medonte,35005,188,0.4%,Ram Faerber,Indépendant
Barrie--Springwater--Oro-Medonte,35005,401,0.8%,Darren Roskam,Libertarien
Barrie--Springwater--Oro-Medonte,35005,2648,5.2%,Marty Lancaster,Parti Vert
Barrie--Springwater--Oro-Medonte,35005,5202,10.3%,Ellen White,NPD-Nouveau Parti Démocratique
Barrie--Springwater--Oro-Medonte,35005,21005,41.6%,Brian Tamblyn,Libéral
Barrie--Springwater--Oro-Medonte,35005,21091,41.7%,Alex Nuttall,Conservateur
Bay of Quinte/Baie de Quinte,35006,372,0.6%,Trueman Tuck,Indépendant
Bay of Quinte/Baie de Quinte,35006,1278,2.2%,Rachel Nelems,Parti Vert
Bay of Quinte/Baie de Quinte,35006,7001,12.1%,Terry Cassidy,NPD-Nouveau Parti Démocratique
Bay of Quinte/Baie de Quinte,35006,19781,34.3%,Jodie Jenkins,Conservateur
Bay of Quinte/Baie de Quinte,35006,29281,50.7%,Neil Ellis,Libéral
Beaches--East York,35007,43,0.1%,Peter Surjanac,Indépendant
Beaches--East York,35007,105,0.2%,Roger Carter,Marxiste-Léniniste
Beaches--East York,35007,254,0.5%,James Sears,Indépendant
Beaches--East York,35007,1433,2.6%,Randall Sach,Parti Vert
Beaches--East York,35007,9124,16.4%,Bill Burrows,Conservateur
Beaches--East York,35007,17113,30.8%,Matthew Kellway,NPD-Nouveau Parti Démocratique
Beaches--East York,35007,27458,49.4%,Nathaniel Erskine-Smith,Libéral
Brampton Centre/Brampton-Centre,35008,173,0.4%,Frank Chilelli,Marxiste-Léniniste
Brampton Centre/Brampton-Centre,35008,844,2.1%,Saul Marquard T. Bottcher,Parti Vert
Brampton Centre/Brampton-Centre,35008,5993,15.1%,Rosemary Keenan,NPD-Nouveau Parti Démocratique
Brampton Centre/Brampton-Centre,35008,13345,33.7%,Bal Gosal,Conservateur
Brampton Centre/Brampton-Centre,35008,19277,48.6%,Ramesh Sangha,Libéral
Brampton East/Brampton-Est,35009,512,1.1%,Kyle Lacroix,Parti Vert
Brampton East/Brampton-Est,35009,10400,23%,Harbaljit Singh Kahlon,NPD-Nouveau Parti Démocratique
Brampton East/Brampton-Est,35009,10642,23.5%,Naval Bajaj,Conservateur
Brampton East/Brampton-Est,35009,23652,52.3%,Raj Grewal,Libéral
Brampton North/Brampton-Nord,35010,120,0.2%,Harinderpal Hundal,Communiste
Brampton North/Brampton-Nord,35010,915,1.9%,Pauline Thornham,Parti Vert
Brampton North/Brampton-Nord,35010,7946,16.5%,Martin Singh,NPD-Nouveau Parti Démocratique
Brampton North/Brampton-Nord,35010,15888,33%,Parm Gill,Conservateur
Brampton North/Brampton-Nord,35010,23297,48.4%,Ruby Sahota,Libéral
Brampton South/Brampton-Sud,35011,1011,2.2%,Shaun Hatton,Parti Vert
